Info : 377 948 ftdi.c:301 ftdi_speed(): ftdi: if you experience problems at higher adapter clocks, try the command "ftdi_tdo_sample_edge falling"
Info : 380 948 core.c:1479 adapter_init(): clock speed 10000 kHz
Info : 389 1449 core.c:1037 jtag_examine_chain_display(): JTAG tap: nds.tap tap/device found: 0x1000563d (mfg: 0x31e (Andes Technology Corporation), part: 0x0005, ver: 0x1)
User : 656 1592 command.c:546 command_print(): configure: bak_debug_buf = 0x00200000
Debug: 657 1593 nds32_v5_cmd.c:502 handle_ndsv5_configure_command(): p_nds_bak_debug_buffer_start = 0xffd90008, p_nds_bak_debug_buffer_end = 0xfff90008
User : 660 1593 command.c:546 command_print(): configure: tdesc_bit ndsv5_tdesc_bitfield.xml
User : 663 1593 command.c:546 command_print(): configure: aligned_access
User : 666 1593 command.c:546 command_print(): configure: reg_symbolic_name
User : 669 1593 command.c:546 command_print(): configure: scan_retry_times = 0x00000003
User : 672 1593 command.c:546 command_print(): configure: jtag_scans_optimize = 0x00000004
User : 677 1593 command.c:546 command_print(): configure: jtag_max_scans = 0x00000040
User : 680 1593 command.c:546 command_print(): configure: dis_condition_break = 0x00000001
User : 683 1593 command.c:546 command_print(): configure: wip_bytes_per_dot = 0x00002000
User : 686 1593 command.c:546 command_print(): configure: dmi_quick_access = 0x00000000
User : 689 1593 command.c:546 command_print(): configure: dmi_access_mem = 0x00000000
User : 693 1593 command.c:546 command_print(): configure: log_file_size = 0x00a00000
User : 696 1593 command.c:546 command_print(): configure: desc Andes_v4.5.1_BUILD_ID_2019051618
User : 699 1594 command.c:546 command_print(): configure: burn_port 2354
Info : 701 1594 server.c:337 add_service(): Listening on port 2354 for burner connections
User : 704 1594 command.c:546 command_print(): configure: halt_on_reset = 0x00000000
Info : 709 1594 server.c:337 add_service(): Listening on port 6666 for tcl connections
Info : 710 1594 server.c:337 add_service(): Listening on port 4444 for telnet connections
Info : 757 1596 core.c:1037 jtag_examine_chain_display(): JTAG tap: nds.tap tap/device found: 0x1000563d (mfg: 0x31e (Andes Technology Corporation), part: 0x0005, ver: 0x1)
Error: 845 1609 riscv-013.c:857 execute_abstract_command(): command 0x321008 failed; abstractcs=0x8000304
Debug: 860 1627 riscv-013.c:1466 register_read_direct(): [nds.tap] hart[0] reg[misa] = 0x40901105 
Debug: 862 1628 nds32_v5_cmd.c:1784 ndsv5_redefine_CSR_name(): ndsv5_redefine_CSR_name
Debug: 863 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3857, mvendorid
Debug: 864 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3858, marchid
Debug: 865 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3859, mimpid
Debug: 866 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 3860, mhartid
Debug: 867 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 768, mstatus
Debug: 868 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 769, misa
Debug: 869 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 770, medeleg
Debug: 870 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 771, mideleg
Debug: 871 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 772, mie
Debug: 872 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 773, mtvec
Debug: 873 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 832, mscratch
Debug: 874 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 833, mepc
Debug: 875 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 834, mcause
Debug: 876 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 835, mtval
Debug: 877 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 836, mip
Debug: 878 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 928, pmpcfg0
Debug: 879 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 929, pmpcfg1
Debug: 880 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 930, pmpcfg2
Debug: 881 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 931, pmpcfg3
Debug: 882 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 944, pmpaddr0
Debug: 883 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 945, pmpaddr1
Debug: 884 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 946, pmpaddr2
Debug: 885 1628 nds32_v5_cmd.c:1795 ndsv5_redefine_CSR_name(): 947, pmpaddr3
